,Actual_OFI,FNN_Model_OFI,actual_signal,FNN_signal
565,1.0,0.97375286,BUY,BUY
566,1.0,0.9521267,BUY,BUY
567,-0.391304347826087,-0.34656632,SELL,SELL
568,0.0,-0.06621839,HOLD,SELL
569,1.0,0.9,BUY,BUY
570,0.3333333333333333,0.370907,BUY,BUY
571,0.9983416252072969,0.9,BUY,BUY
572,0.9107142857142857,0.9,BUY,BUY
573,-0.667590027700831,-0.61232424,SELL,SELL
574,1.0,0.9,BUY,BUY
575,0.9834710743801653,0.9,BUY,BUY
576,1.0,0.9,BUY,BUY
577,0.997427652733119,0.9,BUY,BUY
578,0.9822309970384995,0.9,BUY,BUY
579,0.9300225733634312,0.9,BUY,BUY
580,-0.7894736842105263,-0.7296529,SELL,SELL
581,0.911504424778761,0.9,BUY,BUY
582,-0.8020361990950227,-0.92394686,SELL,SELL
583,-0.7291666666666666,-0.68164825,SELL,SELL
584,-0.85,-0.9413285,SELL,SELL
585,1.0,0.9813297,BUY,BUY
586,0.981651376146789,0.9,BUY,BUY
587,0.8367346938775511,0.8167628,BUY,BUY
588,0.9727547931382442,0.9,BUY,BUY
589,-0.3181818181818182,-0.3328457,SELL,SELL
590,0.7259358288770054,0.9,BUY,BUY
591,0.9632352941176471,0.9,BUY,BUY
592,1.0,0.9,BUY,BUY
593,-0.36363636363636365,-0.39945555,SELL,SELL
594,-0.9694656488549618,-0.9,SELL,SELL
595,0.9976162097735399,0.9,BUY,BUY
596,0.9897854954034729,0.9,BUY,BUY
597,0.9658220388921627,0.9,BUY,BUY
598,0.9593220338983051,0.9,BUY,BUY
599,-0.9940985541457658,-0.9,SELL,SELL
